first_name,last_name,date_of_birth,date_of_death,mother,father,reign_start,reign_end,house,spouse,canonical_name,wikidata_uri,gender
Alfred,the Great,0849-01-01,0899-10-30,Osburh,Æthelwulf,0871-04-27,0899-10-30,House of Wessex,,Alfred the Great (0849–0899),http://www.wikidata.org/entity/Q83476,male
Edith,of Polesworth,0850-01-01,0960-01-01,Ecgwynn,Edward the Elder,,,House of Wessex,Sitric Cáech,Edith of Polesworth (0850–0960),http://www.wikidata.org/entity/Q2162436,female
Æthelflæd,,0870-01-01,0918-06-17,Ealhswith,Alfred the Great,,,House of Wessex,"Æthelred, Lord of the Mercians",Æthelflæd (0870–0918),http://www.wikidata.org/entity/Q235250,female
Æthelgifu,,0870-01-01,0896-01-01,Ealhswith,Alfred the Great,,,House of Wessex,,Æthelgifu (0870–0896),http://www.wikidata.org/entity/Q20056428,female
Edward,the Elder,0874-06-01,0924-07-22,Ealhswith,Alfred the Great,0899-10-30,0924-07-22,House of Wessex,Eadgifu of Kent,Edward the Elder (0874–0924),http://www.wikidata.org/entity/Q187114,male
"Ælfthryth,",Countess of Flanders,0877-01-01,0929-06-07,Ealhswith,Alfred the Great,,,House of Wessex,Baldwin II,"Ælfthryth, Countess of Flanders (0877–0929)",http://www.wikidata.org/entity/Q1470395,female
Æthelweard,,0880-01-01,0920-01-01,Ealhswith,Alfred the Great,,,House of Wessex,,Æthelweard (0880–0920),http://www.wikidata.org/entity/Q4418392,male
Æthelstan,,0895-01-01,0939-11-01,Ecgwynn,Edward the Elder,0927-01-01,0939-11-01,House of Wessex,,Æthelstan (0895–0939),http://www.wikidata.org/entity/Q170017,male
Ælfweard,of Wessex,0900-01-01,0924-08-07,"Ælfflæd, wife of Edward the Elder",Edward the Elder,,,House of Wessex,,Ælfweard of Wessex (0900–0924),http://www.wikidata.org/entity/Q272322,male
Eadgyth,,0910-01-01,0946-01-31,"Ælfflæd, wife of Edward the Elder",Edward the Elder,,,House of Wessex,Otto I the Great,Eadgyth (0910–0946),http://www.wikidata.org/entity/Q237510,female
Edmund,I,0920-01-01,0946-05-26,Eadgifu of Kent,Edward the Elder,0939-11-06,0946-05-31,House of Wessex,Ælfgifu of Shaftesbury,Edmund I (0920–0946),http://www.wikidata.org/entity/Q190166,male
Edred,of England,0923-01-01,0955-11-23,Eadgifu of Kent,Edward the Elder,0946-01-01,0955-11-28,House of Wessex,,Edred of England (0923–0955),http://www.wikidata.org/entity/Q191767,male
Eadwig,,0940-01-01,0959-10-01,Ælfgifu of Shaftesbury,Edmund I,0955-01-01,0959-10-06,House of Wessex,Ælfgifu,Eadwig (0940–0959),http://www.wikidata.org/entity/Q191203,male
Edgar,of England,0943-01-01,0975-07-13,Ælfgifu of Shaftesbury,Edmund I,0959-10-06,0975-07-13,House of Wessex,Wulthryth,Edgar of England (0943–0975),http://www.wikidata.org/entity/Q192925,male
Edith,of Wilton,0961-01-01,0984-09-15,Wulthryth,Edgar of England,,,House of Wessex,,Edith of Wilton (0961–0984),http://www.wikidata.org/entity/Q629117,female
Edward,the Martyr,0963-01-01,0978-03-23,Æthelflæd,Edgar of England,0975-07-13,0978-03-23,House of Wessex,,Edward the Martyr (0963–0978),http://www.wikidata.org/entity/Q192920,male
Sweyn,I of Denmark,0963-04-22,1014-02-09,Tove of the Obotrites,Harald Bluetooth,1013-01-01,1014-02-09,House of Denmark,,Sweyn I of Denmark (0963–1014),http://www.wikidata.org/entity/Q181896,male
Edmund,Ætheling,0965-01-01,0971-01-01,Ælfthryth,Edgar of England,,,House of Wessex,,Edmund Ætheling (0965–0971),http://www.wikidata.org/entity/Q75382353,male
Æthelred,the Unready,0967-01-01,1016-04-29,Ælfthryth,Edgar of England,0978-01-01,1013-01-01,House of Wessex,Emma of Normandy,Æthelred the Unready (0967–1016),http://www.wikidata.org/entity/Q183499,male
Æthelstan,Ætheling,0980-01-01,1014-06-25,Ælfgifu of York,Æthelred the Unready,,,House of Wessex,,Æthelstan Ætheling (0980–1014),http://www.wikidata.org/entity/Q1261974,male
Edmund,II of England,0988-01-01,1016-11-30,Ælfgifu of York,Æthelred the Unready,1016-01-01,1016-12-06,House of Wessex,Ealdgyth,Edmund II of England (0988–1016),http://www.wikidata.org/entity/Q188684,male
Harald,II of Denmark,0989-01-01,1018-01-01,Gunhild of Wenden,Sweyn I of Denmark,,,House of Wessex,,Harald II of Denmark (0989–1018),http://www.wikidata.org/entity/Q311011,male
Estrid,Svendsdatter,0990-01-01,1057-01-01,Sigrid the Haughty,Sweyn I of Denmark,,,House of Wessex,Richard II,Estrid Svendsdatter (0990–1057),http://www.wikidata.org/entity/Q2981947,female
Cnut,the Great,0994-01-01,1035-11-12,Gunhild of Wenden,Sweyn I of Denmark,1016-01-01,1035-11-18,House of Wessex,Emma of Normandy,Cnut the Great (0994–1035),http://www.wikidata.org/entity/Q134128,male
Gyda,Svendsdatter,1000-01-01,1100-01-01,Gunhild of Wenden,Sweyn I of Denmark,,,House of Wessex,Eric Haakonsson,Gyda Svendsdatter (1000–1100),http://www.wikidata.org/entity/Q9283247,female
Goda,of England,1002-01-01,1047-01-01,Emma of Normandy,Æthelred the Unready,,,House of Wessex,"Eustace II, Count of Boulogne",Goda of England (1002–1047),http://www.wikidata.org/entity/Q3109791,female
Alfred,Aetheling,1012-01-01,1037-02-11,Emma of Normandy,Æthelred the Unready,,,House of Wessex,,Alfred Aetheling (1012–1037),http://www.wikidata.org/entity/Q35618,male
Edmund,Ætheling,1015-01-01,1054-01-01,Ealdgyth,Edmund II of England,,,House of Wessex,Hedwig of Hungary,Edmund Ætheling (1015–1054),http://www.wikidata.org/entity/Q16834715,male
Harold,Harefoot,1016-01-01,1040-03-23,Ælfgifu of Northampton,Cnut the Great,1037-01-01,1040-03-23,House of Wessex,Ælgifu,Harold Harefoot (1016–1040),http://www.wikidata.org/entity/Q188627,male
Edward,the Exile,1016-01-01,1057-04-25,Ealdgyth,Edmund II of England,,,House of Wessex,"Agatha, wife of Edward the Exile",Edward the Exile (1016–1057),http://www.wikidata.org/entity/Q117647,male
Svein,Knutsson,1016-01-01,1035-10-16,Ælfgifu of Northampton,Cnut the Great,,,House of Wessex,,Svein Knutsson (1016–1035),http://www.wikidata.org/entity/Q36731,male
Gunhilda,,1017-01-01,1045-01-01,daughter Sveynsdottir,Sweyn I of Denmark,,,House of Wessex,Haakon Ericsson,Gunhilda (1017–1045),http://www.wikidata.org/entity/Q16556142,female
Harthacanute,,1018-01-01,1042-06-14,Emma of Normandy,Cnut the Great,1040-03-29,1042-06-14,House of Wessex,,Harthacanute (1018–1042),http://www.wikidata.org/entity/Q190091,male
Gunhilda,of Denmark,1020-01-01,1038-07-18,Emma of Normandy,Cnut the Great,,,House of Wessex,Henry III,Gunhilda of Denmark (1020–1038),http://www.wikidata.org/entity/Q254545,female
Harold,Godwinson,1022-01-01,1066-10-20,Gytha Thorkelsdóttir,"Godwin, Earl of Wessex",1066-01-11,1066-10-20,House of Normandy,,Harold Godwinson (1022–1066),http://www.wikidata.org/entity/Q159597,male
William,the Conqueror,1028-11-14,1087-09-15,Herleva,"Robert I, Duke of Normandy",1066-12-31,1087-09-15,House of Normandy,,William the Conqueror (1028–1087),http://www.wikidata.org/entity/Q37594,male
